NO,QUESTION,CHOICE 1,CHOICE 2,CHOICE 3,CHOICE 4,TYPE,LEVEL,CATEGORY 1,CATEGORY 2,LOCATION
1401,Andre Agassi เป็นนักกีฬาประเภทใด,เทนนิส,แบดมินตัน,กอล์ฟ,ยิงปืน,4 Choice,1,sports,none,#none
1402,Gianluigi Buffon เป็นนักกีฬาประเภทใด,ฟุตบอล,สนุกเกอร์,เบสบอล,บาสเกตบอล,4 Choice,1,sports,none,#none
1403,Kareem Abdul-Jabbar เป็นนักกีฬาประเภทใด,บาสเกตบอล,วิ่งมาราธอน,อเมริกันฟุตบอล,รักบี้,4 Choice,1,sports,none,#none
1404,Maria Sharapova เป็นนักกีฬาประเภทใด,เทนนิส,แบดมินตัน,กอล์ฟ,ปั่นจักรยาน,4 Choice,1,sports,none,#none
1405,Thomas Muller เป็นนักกีฬาประเภทใด,ฟุตบอล,บาสเกตบอล,เทนนิส,รักบี้,4 Choice,1,sports,none,#none
1406,Stephanie Rice เป็นนักกีฬาประเภทใด,ว่ายน้ำ,กระโดดน้ำ,ไตรกีฬา,ปั่นจักรยาน,4 Choice,2,sports,none,#none
1407,สโมรสรฟุตบอล Galatasaray อยู่ในลีกประเทศใด,ตุรกี,อียิปต์,กรีซ,สเปน,4 Choice,2,sports,none,#none
1408,สโมรสรฟุตบอล Juventus อยู่ในลีกประเทศใด,อิตาลี,อังกฤษ,ฝรั่งเศส,เยอรมนี,4 Choice,1,sports,none,#none
1409,สโมรสรฟุตบอล FC Porto อยู่ในลีกประเทศใด,โปรตุเกส,บราซิล,สเปน,ฝรั่งเศส,4 Choice,2,sports,none,#none
1410,สโมรสรฟุตบอล Celtic อยู่ในลีกประเทศใด,สกอตแลนด์,เวลส์,อังกฤษ,โปรตุเกส,4 Choice,2,sports,none,#none
1411,สโมรสรฟุตบอล Anderlecht อยู่ในลีกประเทศใด,เบลเยียม,เดนมาร์ก,เนเธอร์แลนด์,สกอตแลนด์,4 Choice,2,sports,none,#none
1412,สโมรสรฟุตบอล Borussia Dortmund อยู่ในลีกประเทศใด,เยอรมนี,ฝรั่งเศส,อังกฤษ,อิตาลี,4 Choice,1,sports,none,#none
1413,สโมรสรฟุตบอล PSV Eindhoven อยู่ในลีกประเทศใด,เนเธอร์แลนด์,เดนมาร์ก,สวีเดน,นอร์เวย์,4 Choice,2,sports,none,#none
1414,สโมรสรฟุตบอล Benfica อยู่ในลีกประเทศใด,โปรตุเกส,เนเธอร์แลนด์,ฝรั่งเศส,อิตาลี,4 Choice,1,sports,none,#none
1415,สโมรสรฟุตบอล Club Brugge อยู่ในลีกประเทศใด,เบลเยียม,ออสเตรีย,สกอตแลนด์,กรีซ,4 Choice,2,sports,none,#none
1416,สโมรสรฟุตบอล Olympiacos อยู่ในลีกประเทศใด,กรีซ,สเปน,ตุรกี,อิตาลี,4 Choice,2,sports,none,#none
1417,สโมรสรฟุตบอล Shakhtar Donetsk อยู่ในลีกประเทศใด,ยูเครน,รัสเซีย,โปแลนด์,อังกฤษ,4 Choice,2,sports,none,#none
1418,สโมรสรฟุตบอล Sevilla FC อยู่ในลีกประเทศใด,สเปน,เยอรมนี,ฝรั่งเศส,อังกฤษ,4 Choice,1,sports,none,#none
1419,สโมรสรฟุตบอล Tottenham Hotspur อยู่ในลีกประเทศใด,อังกฤษ,สเปน,ฝรั่งเศส,เนเธอร์แลนด์,4 Choice,1,sports,none,#none
1420,สโมรสรฟุตบอล Schalke 04 อยู่ในลีกประเทศใด,เยอรมนี,สเปน,อังกฤษ,ฝรั่งเศส,4 Choice,1,sports,none,#none
1421,สโมรสรฟุตบอล AS Monaco อยู่ในลีกประเทศใด,ฝรั่งเศส,เนเธอร์แลนด์,เบลเยียม,โปรตุเกส,4 Choice,1,sports,none,#none
1422,สโมรสรฟุตบอล Red Bull Salzburg อยู่ในลีกประเทศใด,ออสเตรีย,ฮังการี,เยอรมนี,สวิตเซอร์แลนด์,4 Choice,2,sports,none,#none
1423,สโมรสรฟุตบอล Dinamo Zagreb อยู่ในลีกประเทศใด,โครเอเชีย,เซอร์เบีย,ฮังการี,ยูเครน,4 Choice,2,sports,none,#none
1424,สโมรสรฟุตบอล Red Star Belgrade อยู่ในลีกประเทศใด,เซอร์เบีย,กรีซ,โครเอเชีย,ตุรกี,4 Choice,2,sports,none,#none
1425,สโมรสรฟุตบอล Basel อยู่ในลีกประเทศใด,สวีเดน,ฟินแลนด์,นอร์เวย์,เดนมาร์ก,4 Choice,2,sports,none,#none
1426,สโมรสรฟุตบอล Legia Warsaw อยู่ในลีกประเทศใด,โปแลนด์,ยูเครน,อังกฤษ,ฮังการี,4 Choice,2,sports,none,#none
1427,สโมรสรฟุตบอล Panathinaikos อยู่ในลีกประเทศใด,กรีซ,สเปน,ตุรกี,อิตาลี,4 Choice,2,sports,none,#none
1428,สโมรสรฟุตบอล Malmo FF อยู่ในลีกประเทศใด,สวีเดน,ฟินแลนด์,นอร์เวย์,เดนมาร์ก,4 Choice,2,sports,none,#none
1429,สโมรสรฟุตบอล Valencia CF อยู่ในลีกประเทศใด,สเปน,เยอรมนี,ฝรั่งเศส,อังกฤษ,4 Choice,1,sports,none,#none
1430,สโมรสรฟุตบอล Boca Juniors อยู่ในลีกประเทศใด,อาร์เจนตินา,บราซิล,อุรุกวัย,โคลอมเบีย,4 Choice,2,sports,none,#none
1431,สโมรสรฟุตบอล Flamengo อยู่ในลีกประเทศใด,บราซิล,อาร์เจนตินา,อุรุกวัย,ปารากวัย,4 Choice,2,sports,none,#none
1432,สโมรสรฟุตบอล Nacional อยู่ในลีกประเทศใด,อุรุกวัย,บราซิล,อาร์เจนตินา,ชิลี,4 Choice,2,sports,none,#none
1433,สโมรสรฟุตบอล Palmeiras อยู่ในลีกประเทศใด,บราซิล,อาร์เจนตินา,อุรุกวัย,โคลอมเบีย,4 Choice,2,sports,none,#none
1434,สโมรสรฟุตบอล Independiente อยู่ในลีกประเทศใด,อาร์เจนตินา,บราซิล,สเปน,กรีซ,4 Choice,2,sports,none,#none
1435,สโมรสรฟุตบอล Vasco da Gama อยู่ในลีกประเทศใด,บราซิล,อาร์เจนตินา,อุรุกวัย,ปารากวัย,4 Choice,2,sports,none,#none
1436,สโมรสรฟุตบอล Al-Hilal อยู่ในลีกประเทศใด,ซาอุดีอาระเบีย,กาตาร์,สหรัฐอาหรับเอมิเรตส์,อิหร่าน,4 Choice,2,sports,none,#none
1437,สโมรสรฟุตบอล Urawa Red Diamonds อยู่ในลีกประเทศใด,ญี่ปุ่น,จีน,เกาหลีใต้,ออสเตรเลีย,4 Choice,1,sports,none,#none
1438,สโมรสรฟุตบอล Jeonbuk Hyundai Motors อยู่ในลีกประเทศใด,เกาหลีใต้,จีน,ญี่ปุ่น,เวียดนาม,4 Choice,1,sports,none,#none
1439,สโมรสรฟุตบอล Guangzhou FC อยู่ในลีกประเทศใด,จีน,เกาหลีใต้,ญี่ปุ่น,กาตาร์,4 Choice,1,sports,none,#none
1440,สโมรสรฟุตบอล Valencia CF อยู่ในลีกประเทศใด,ไทย,เวียดนาม,มาเลเซีย,อินโดนีเซีย,4 Choice,2,sports,none,#none
1441,สโมรสรฟุตบอล Sagan Tosu อยู่ในลีกประเทศใด,ญี่ปุ่น,จีน,เกาหลีใต้,เวียดนาม,4 Choice,1,sports,none,#none
1442,นักแสดงที่รับบทเป็น Achilles ในภาพยนตร์เรื่อง Troy คือใคร,Brad Pitt,Leonardo DiCaprio,Matt Damon,Tom Cruise,4 Choice,2,Entertainment,none,#none
1443,นักแสดงที่ได้รับรางวัลออสการ์จากภาพยนตร์เรื่อง The Revenant คือใคร,Leonardo DiCaprio,Brad Pitt,Matt Damon,Tom Cruise,4 Choice,1,Entertainment,none,#none
1444,ใครคือนักแสดงที่รับบทเป็น Tyler Durden ในภาพยนตร์เรื่อง Fight Club,Brad Pitt,Leonardo DiCaprio,Matt Damon,Tom Cruise,4 Choice,2,Entertainment,none,#none
1445,ใครเป็นนักแสดงนำในภาพยนตร์เรื่อง Minority Report,Tom Cruise,Brad Pitt,Leonardo DiCaprio,Matt Damon,4 Choice,2,Entertainment,none,#none
1446,ใครเป็นนักแสดงนำในภาพยนตร์เรื่อง Saving Private Ryan,Matt Damon,Tom Cruise,Brad Pitt,Leonardo DiCaprio,4 Choice,1,Entertainment,none,#none
1447,ใครแสดงเป็น Batman ในภาพยนตร์เรื่อง The Dark Knight,Christian Bale,Michael Keaton,George Clooney,Ben Affleck,4 Choice,1,Entertainment,none,#none
1448,The Rock แสดงนำในภาพยนตร์เรื่องใด,Fast & Furious,Transformers,The Expendables,Mission: Impossible,4 Choice,1,Entertainment,none,#none
1449,ใครแสดงเป็น Captain America ในจักรวาลภาพยนตร์ Marvel,Chris Evans,Chris Pratt,Jeremy Renner,Paul Rudd,4 Choice,1,Entertainment,none,#none
1450,ใครแสดงเป็น Aragorn ในภาพยนตร์ชุด The Lord of the Rings,Viggo Mortensen,Orlando Bloom,Sean Bean,Ian McKellen,4 Choice,1,Entertainment,none,#none
1451,ใครแสดงเป็น Agent J ในภาพยนตร์เรื่อง Men in Black,Will Smith,Jamie Foxx,Chris Hemsworth,Tommy Lee Jones,4 Choice,1,Entertainment,none,#none
1452,ใครแสดงเป็น Maleficent ในภาพยนตร์เรื่อง Maleficent,Angelina Jolie,Cate Blanchett,Charlize Theron,Nicole Kidman,4 Choice,2,Entertainment,none,#none
1453,ใครแสดงเป็น John Wick ในภาพยนตร์เรื่อง John Wick,Keanu Reeves,Tom Cruise,Jason Statham,Liam Neeson,4 Choice,1,Entertainment,none,#none
1454,ใครแสดงเป็น Dominic Toretto ในภาพยนตร์ชุด Fast & Furious,Vin Diesel,Dwayne Johnson,Paul Walker,Jason Statham,4 Choice,1,Entertainment,none,#none
1455,ใครเป็นนักแสดงนำในภาพยนตร์เรื่อง La La Land,Ryan Gosling,Leonardo DiCaprio,Chris Evans,Bradley Cooper,4 Choice,1,Entertainment,none,#none
1456,ใครแสดงเป็น Amelie Poulain ในภาพยนตร์เรื่อง Amelie,Audrey Tautou,Lea Seydoux,Marion Cotillard,Eva Green,4 Choice,3,Entertainment,none,#none
1457,ใครแสดงเป็น Mark Watney ในภาพยนตร์เรื่อง The Martian,Matt Damon,Tom Cruise,Brad Pitt,Leonardo DiCaprio,4 Choice,2,Entertainment,none,#none
1458,ใครให้เสียงพากย์ Woody ในภาพยนตร์เรื่อง Toy Story,Tom Hanks,Tim Allen,Robin Williams,Steve Carell,4 Choice,2,Entertainment,none,#none
1459,ใครแสดงเป็น John McClane ในภาพยนตร์ชุด Die Hard,Bruce Willis,Wesley Snipes,Sylvester Stallone,Chuck Norris,4 Choice,1,Entertainment,none,#none
1460,ใครเป็นนักแสดงนำในภาพยนตร์เรื่อง Edward Scissorhands,Johnny Depp,Robert Downey Jr.,Tom Cruise,Michael Keaton,4 Choice,2,Entertainment,none,#none
1461,ใครเป็นนักแสดงนำหญิงในภาพยนตร์เรื่อง Titanic,Kate Winslet,Reese Witherspoon,Gwyneth Paltrow,Angelina Jolie,4 Choice,1,Entertainment,none,#none
1462,ใครแสดงเป็น Han Solo ในภาพยนตร์ชุด Star Wars,Harrison Ford,Mark Hamill,Adam Driver,Ewan McGregor,4 Choice,1,Entertainment,none,#none
1463,ใครแสดงเป็น Alice ในภาพยนตร์ชุด Resident Evil,Milla Jovovich,Kate Beckinsale,Megan Fox,Jessica Alba,4 Choice,2,Entertainment,none,#none
1464,ใครแสดงเป็น Tony Montana ในภาพยนตร์เรื่อง Scarface,Al Pacino,Robert De Niro,Marlon Brando,Jack Nicholson,4 Choice,3,Entertainment,none,#none
1465,ใครแสดงเป็น Vito Corleone ในภาพยนตร์เรื่อง The Godfather,Marlon Brando,Al Pacino,Robert De Niro,Christian Bale,4 Choice,2,Entertainment,none,#none
1466,ใครเป็นนักแสดงนำในภาพยนตร์เรื่อง The Mask of Zorro,Antonio Banderas,Javier Bardem,George Clooney,Brad Pitt,4 Choice,2,Entertainment,none,#none
1467,ใครเป็นนักแสดงนำในภาพยนตร์เรื่อง Bohemian Rhapsody ,Rami Malek,Taron Egerton,Joseph Mazzello,Ben Whishaw,4 Choice,2,Entertainment,none,#none
1468,ใครเป็นนักแสดงนำหญิงในภาพยนตร์เรื่อง Mamma Mia!,Meryl Streep,Amanda Seyfried,Christine Baranski,Julie Walters,4 Choice,2,Entertainment,none,#none
1469,ใครเป็นนักแสดงนำในภาพยนตร์เรื่อง The Mask,Jim Carrey,Tom Hanks,Robin Williams,Steve Carell,4 Choice,2,Entertainment,none,#none
1470,ใครแสดงเป็น Agent Smith ในภาพยนตร์ชุด The Matrix,Hugo Weaving,Laurence Fishburne,Keanu Reeves,Joe Pantoliano,4 Choice,2,Entertainment,none,#none
1471,ใครเป็นนักแสดงนำในภาพยนตร์เรื่อง Cast Away,Tom Hanks,Kevin Costner,Brad Pitt,George Clooney,4 Choice,1,Entertainment,none,#none
1472,"ใครเป็นคนร้องเพลง ""I Will Always Love You""",Whitney Houston,Celine Dion,Mariah Carey,Aretha Franklin,4 Choice,2,Entertainment,none,#none
1473,"ใครเป็นคนร้องเพลง ""Imagine""",John Lennon,Paul McCartney,George Harrison,Ringo Starr,4 Choice,1,Entertainment,none,#none
1474,"ใครเป็นคนร้องเพลง ""Like a Rolling Stone""",Bob Dylan,Jimi Hendrix,Bob Marley,The Rolling Stones,4 Choice,2,Entertainment,none,#none
1475,"ใครเป็นคนร้องเพลง ""Hey Jude""",The Beatles,Queen,The Rolling Stones,Elton John,4 Choice,2,Entertainment,none,#none
1476,"ใครเป็นคนร้องเพลง ""My Heart Will Go On""",Celine Dion,Whitney Houston,Mariah Carey,Barbra Streisand,4 Choice,1,Entertainment,none,#none
1477,"ใครเป็นคนร้องเพลง ""Dancing Queen""",ABBA,The Carpenters,Village People,Boney M.,4 Choice,2,Entertainment,none,#none
1478,"ใครเป็นคนร้องเพลง ""Livin' on a Prayer""",Bon Jovi,Def Leppard,Aerosmith,Queen,4 Choice,2,Entertainment,none,#none
1479,"ใครเป็นคนร้องเพลง ""Don't Stop Believin""",Journey,Boston,Chicago,Foreigner,4 Choice,3,Entertainment,none,#none
1480,"ใครเป็นคนร้องเพลง ""Like a Prayer""",Madonna,Kylie Minogue,Britney Spears,Janet Jackson,4 Choice,2,Entertainment,none,#none
1481,"ใครเป็นคนร้องเพลง ""Waka Waka (This Time for Africa)""",Shakira,Cardi B,Jennifer Lopez,Camila Cabello,4 Choice,1,Entertainment,none,#none
1482,"ใครเป็นคนร้องเพลง ""Purple Rain""",Prince,Lenny Kravitz,Jimi Hendrix,Michael Jackson,4 Choice,3,Entertainment,none,#none
1483,"ใครเป็นคนร้องเพลง ""Happy""",Pharrell Williams,Justin Timberlake,Usher,John Legend,4 Choice,1,Entertainment,none,#none
1484,"ใครเป็นคนร้องเพลง ""Gangsta's Paradise""",Coolio,Eminem,Dr. Dre,Snoop Dogg,4 Choice,2,Entertainment,none,#none
1485,"ใครเป็นคนร้องเพลง ""With or Without You""",U2,The Cure,Depeche Mode,R.E.M.,4 Choice,2,Entertainment,none,#none
1486,"ใครเป็นคนร้องเพลง ""Girls Like You""",Maroon 5,OneRepublic,Imagine Dragons,The Chainsmokers,4 Choice,1,Entertainment,none,#none
1487,"ใครเป็นคนร้องเพลง ""God Only Knows""",The Beach Boys,The Kinks,The Monkees,The Beatles,4 Choice,3,Entertainment,none,#none
1488,"ใครเป็นคนร้องเพลง ""I Want It That Way""",Backstreet Boys,Westlife,98 Degrees,NSYNC,4 Choice,2,Entertainment,none,#none
1489,"ใครเป็นคนร้องเพลง ""Someone Like You""",Adele,Sia,Amy Winehouse,Sam Smith,4 Choice,1,Entertainment,none,#none
1490,"ใครเป็นคนร้องเพลง ""September""","Earth, Wind & Fire",The Jackson 5,The Commodores,Kool & The Gang,4 Choice,2,Entertainment,none,#none
1491,"ใครเป็นคนร้องเพลง ""Strawberry Fields Forever""",The Beatles,David Bowie,Pink Floyd,The Rolling Stones,4 Choice,2,Entertainment,none,#none
1492,"ใครเป็นคนร้องเพลง ""Just the Way You Are""",Bruno Mars,Sam Smith,Jason Mraz,Ed Sheeran,4 Choice,1,Entertainment,none,#none
1493,"ใครเป็นคนร้องเพลง ""Tears in Heaven""",Eric Clapton,Phil Collins,Paul Simon,Sting,4 Choice,2,Entertainment,none,#none
1494,"ใครเป็นคนร้องเพลง ""Macarena""",Los del Rio,Gipsy Kings,Ricky Martin,Shakira,4 Choice,3,Entertainment,none,#none
1495,"ใครเป็นคนร้องเพลง ""Love Story""",Taylor Swift,Avril Lavigne,Katy Perry,Selena Gomez,4 Choice,1,Entertainment,none,#none
1496,"ใครเป็นคนร้องเพลง ""I Will Survive""",Gloria Gaynor,Diana Ross,Thelma Houston,Donna Summer,4 Choice,2,Entertainment,none,#none
1497,"ใครเป็นคนร้องเพลง ""Seven Nation Army""",The White Stripes,Arctic Monkeys,The Strokes,The Black Keys,4 Choice,2,Entertainment,none,#none
1498,"ใครเป็นคนร้องเพลง ""Livin' La Vida Loca""",Ricky Martin,Marc Anthony,Enrique Iglesias,Maluma,4 Choice,2,Entertainment,none,#none
1499,"ใครเป็นคนร้องเพลง ""Mr. Brightside""",The Killers,Franz Ferdinand,Arctic Monkeys,Muse,4 Choice,3,Entertainment,none,#none
1500,วงดนตรีเมทัล Metallica มาจากประเทศอะไร,สหรัฐอเมริกา,อังกฤษ,แคนาดา,สวีเดน,4 Choice,1,Entertainment,none,#none
1501,วงดนตรีร็อก U2 มาจากประเทศอะไร,ไอร์แลนด์,อังกฤษ,สหรัฐอเมริกา,แคนาดา,4 Choice,2,Entertainment,none,#none
1502,วงดนตรีเมทัล Rammstein มาจากประเทศอะไร,เยอรมนี,สวีเดน,นอร์เวย์,สหรัฐอเมริกา,4 Choice,2,Entertainment,none,#none
1503,วงดนตรีร็อก Red Hot Chili Peppers มาจากประเทศอะไร,สหรัฐอเมริกา,อังกฤษ,แคนาดา,ไอร์แลนด์,4 Choice,1,Entertainment,none,#none
1504,วงดนตรีฮาร์ดร็อก AC/DC มาจากประเทศอะไร,ออสเตรเลีย,สหรัฐอเมริกา,อังกฤษ,เยอรมนี,4 Choice,2,Entertainment,none,#none
1505,วงดนตรี Scorpions มาจากประเทศอะไร,เยอรมนี,อังกฤษ,สวีเดน,นอร์เวย์,4 Choice,2,Entertainment,none,#none
1506,วงเกิร์ลกรุ๊ป Spice Girls มาจากประเทศอะไร,อังกฤษ,สหรัฐอเมริกา,เกาหลีใต้,ญี่ปุ่น,4 Choice,2,Entertainment,none,#none
1507,วงดนตรี Guns N' Roses มาจากประเทศอะไร,สหรัฐอเมริกา,อังกฤษ,ออสเตรเลีย,แคนาดา,4 Choice,1,Entertainment,none,#none
1508,วงดนตรีซินธ์ป็อป A-ha มาจากประเทศอะไร,นอร์เวย์,สวีเดน,เยอรมนี,เดนมาร์ก,4 Choice,3,Entertainment,none,#none
1509,วงดนตรี Tame Impala มาจากประเทศอะไร,ออสเตรเลีย,นิวซีแลนด์,สหรัฐอเมริกา,ออสเตรีย,4 Choice,3,Entertainment,none,#none
1510,วงดนตรี Foo Fighters มาจากประเทศอะไร,สหรัฐอเมริกา,อังกฤษ,แคนาดา,ออสเตรเลีย,4 Choice,2,Entertainment,none,#none
1511,วงดนตรีฮาร์ดร็อก Led Zeppelin มาจากประเทศอะไร,อังกฤษ,สหรัฐอเมริกา,แคนาดา,เยอรมนี,4 Choice,2,Entertainment,none,#none
1512,วงอัลเทอร์เนทีฟร็อก Kings of Leon มาจากประเทศอะไร,สหรัฐอเมริกา,อังกฤษ,เยอรมนี,ไอร์แลนด์,4 Choice,2,Entertainment,none,#none
1513,วงเกิร์ลกรุ๊ป Girls' Generation มาจากประเทศอะไร,เกาหลีใต้,ญี่ปุ่น,สหรัฐอเมริกา,อังกฤษ,4 Choice,2,Entertainment,none,#none
1514,วงพังก์ร็อก The Ramones มาจากประเทศอะไร,สหรัฐอเมริกา,อังกฤษ,แคนาดา,ออสเตรเลีย,4 Choice,2,Entertainment,none,#none
1515,วงอินดี้ร็อก Arcade Fire มาจากประเทศอะไร,แคนาดา,สหรัฐอเมริกา,อังกฤษ,ไอร์แลนด์,4 Choice,2,Entertainment,none,#none
1516,วงอัลเทอร์เนทีฟเมทัล System of a Down มาจากประเทศอะไร,สหรัฐอเมริกา,อังกฤษ,นิวซีแลนด์,ออสเตรเลีย,4 Choice,2,Entertainment,none,#none
1517,เกม Minecraft ผลิตโดยบริษัทใด,Mojang Studios,Ubisoft,Epic Games,Nintendo,4 Choice,2,Pop Culture,none,#none
1518,เกม The Witcher 3: Wild Hunt ผลิตโดยบริษัทใด,CD Projekt Red,Ubisoft,BioWare,Rockstar Games,4 Choice,2,Pop Culture,none,#none
1519,เกม GTA V ผลิตโดยบริษัทใด,Rockstar Games,Sega,Capcom,Electronic Arts (EA),4 Choice,2,Pop Culture,none,#none
1520,เกม Fortnite ผลิตโดยบริษัทใด,Epic Games,Tencent Games,Infinity Ward,Bluehole Studio,4 Choice,1,Pop Culture,none,#none
1521,เกม Red Dead Redemption 2 ผลิตโดยบริษัทใด,Rockstar Games,Naughty Dog,Bungie,BioWare,4 Choice,2,Pop Culture,none,#none
1522,เกม CS: GO ผลิตโดยบริษัทใด,Valve Corporation,Electronic Arts (EA),Epic Games,Rockstar Games,4 Choice,2,Pop Culture,none,#none
1523, เกม Resident Evil Village ผลิตโดยบริษัทใด,Capcom,Konami,Sega,Square Enix,4 Choice,1,Pop Culture,none,#none
1524,เกม Street Fighter 6 ผลิตโดยบริษัทใด,Capcom,Konami,SNK,Bandai Namco,4 Choice,1,Pop Culture,none,#none
1525,เกม Sekiro: Shadows Die Twice ผลิตโดยบริษัทใด,FromSoftware,Nioh Team,Bandai Namco,Capcom,4 Choice,2,Pop Culture,none,#none
1526,เกม Monster Hunter: World ผลิตโดยบริษัทใด,Capcom,Konami,Sega,Square Enix,4 Choice,1,Pop Culture,none,#none
1527,เกม Valorant ผลิตโดยบริษัทใด,Riot Games,Epic Games,Valve Corporation,Electronic Arts (EA),4 Choice,2,Pop Culture,none,#none
1528,เกม Death Stranding ผลิตโดยบริษัทใด,Kojima Productions,Konami,Square Enix,FromSoftware,4 Choice,1,Pop Culture,none,#none
1529,เกม Hades ผลิตโดยบริษัทใด,Supergiant Games,Yacht Club Games,Klei Entertainment,Motion Twin,4 Choice,3,Pop Culture,none,#none
1530,เกม Hollow Knight ผลิตโดยบริษัทใด,Team Cherry,Supergiant Games,Motion Twin,Konami,4 Choice,3,Pop Culture,none,#none
1531,เกม Cuphead ผลิตโดยบริษัทใด,Studio MDHR,Yacht Club Games,Playdead,Team Cherry,4 Choice,3,Pop Culture,none,#none
1532,เกม DOOM (1993) ผลิตโดยบริษัทใด,id Software,Raven Software,Epic Games,Valve Corporation,4 Choice,2,Pop Culture,none,#none
1533,บริษัทเกมใดตั้งอยู่ในประเทศญี่ปุ่น,Nintendo,Ubisoft,Electronic Arts (EA),CD Projekt Red,4 Choice,1,Pop Culture,none,#Tokyo
1534,บริษัทเกมใดตั้งอยู่ในประเทศสหรัฐอเมริกา,Epic Games,CD Projekt Red,Crytek,miHoYo,4 Choice,2,Pop Culture,none,#New York
1535,บริษัทเกมใดตั้งอยู่ในประเทศฝรั่งเศส,Ubisoft,Insomniac Games,Rare,Sega,4 Choice,2,Pop Culture,none,#Paris
1536,บริษัทเกมใดตั้งอยู่ในประเทศโปแลนด์,CD Projekt Red,BioWare,DICE,Ubisoft,4 Choice,3,Pop Culture,none,#none
1537,บริษัทเกมใดตั้งอยู่ในประเทศญี่ปุ่น,Capcom,Naughty Dog,Riot Games,Rockstar Games,4 Choice,1,Pop Culture,none,#none
1538,บริษัทเกมใดตั้งอยู่ในประเทศจีน,Tencent Games,Konami,Netmarble,Wargaming,4 Choice,2,Pop Culture,none,#none
1539,บริษัทเกมใดตั้งอยู่ในประเทศแคนาดา,BioWare,Insomniac Games,Sucker Punch,DICE,4 Choice,3,Pop Culture,none,#none
1540,บริษัทเกมใดตั้งอยู่ในประเทศเกาหลีใต้,Netmarble,miHoYo,Atlus,Konami,4 Choice,2,Pop Culture,none,#none
1541,บริษัทเกมใดตั้งอยู่ในประเทศจีน,miHoYo,Netmarble,Game Freak,Atlus,4 Choice,1,Pop Culture,none,#none
1542,บริษัทเกมใดตั้งอยู่ในประเทศเยอรมนี,Crytek,Ubisoft,Arkane Studios,Rockstar Games,4 Choice,3,Pop Culture,none,#none
1543,บริษัทเกมใดตั้งอยู่ในประเทศสวีเดน,DICE,Team Cherry,Supergiant Games,Insomniac Games,4 Choice,3,Pop Culture,none,#none
1544,บริษัทเกมใดตั้งอยู่ในประเทศเกาหลีใต้,Nexon,Konami,miHoYo,NetEase,4 Choice,2,Pop Culture,none,#none
1545,อนิเมะเรื่อง Jujutsu Kaisen ผลิตโดยสตูดิโอใด,MAPPA,Bones,Production I.G,Madhouse,4 Choice,2,Pop Culture,none,#none
1546,อนิเมะเรื่อง Kimetsu no Yaiba ผลิตโดยสตูดิโอใด,Ufotable,Kyoto Animation,Wit Studio,Sunrise,4 Choice,2,Pop Culture,none,#none
1547,อนิเมะเรื่อง My Hero Academia ผลิตโดยสตูดิโอใด,Bones,A-1 Pictures,MAPPA,Production I.G,4 Choice,2,Pop Culture,none,#none
1548,อนิเมะเรื่อง Death Note ผลิตโดยสตูดิโอใด,Madhouse,Wit Studio,Production I.G,Bones,4 Choice,3,Pop Culture,none,#none
1549,อนิเมะเรื่อง Chainsaw Man ผลิตโดยสตูดิโอใด,MAPPA,Bones,Production I.G,CloverWorks,4 Choice,2,Pop Culture,none,#none
1550,อนิเมะเรื่อง Steins;Gate ผลิตโดยสตูดิโอใด,White Fox,MAPPA,Madhouse,Production I.G,4 Choice,3,Pop Culture,none,#none
1551,อนิเมะเรื่อง Code Geass ผลิตโดยสตูดิโอใด,Sunrise,Madhouse,Pierrot,Bones,4 Choice,2,Pop Culture,none,#none
1552,อนิเมะเรื่อง Violet Evergarden ผลิตโดยสตูดิโอใด,Kyoto Animation,Bones,A-1 Pictures,Madhouse,4 Choice,3,Pop Culture,none,#none
1553,อนิเมะเรื่อง Black Clover ผลิตโดยสตูดิโอใด,Pierrot,Bones,Wit Studio,MAPPA,4 Choice,2,Pop Culture,none,#none
1554,อนิเมะเรื่อง Psycho-Pass ผลิตโดยสตูดิโอใด,Production I.G,Wit Studio,Bones,A-1 Pictures,4 Choice,3,Pop Culture,none,#none
1555,อนิเมะเรื่อง Puella Magi Madoka Magica ผลิตโดยสตูดิโอใด,Shaft,Kyoto Animation,A-1 Pictures,Production I.G,4 Choice,2,Pop Culture,none,#none
1556,อนิเมะเรื่อง Bocchi the Rock! ผลิตโดยสตูดิโอใด,CloverWorks,Kyoto Animation,MAPPA,Bones,4 Choice,3,Pop Culture,none,#none
1557,อนิเมะเรื่อง K-On! ผลิตโดยสตูดิโอใด,Kyoto Animation,Bones,A-1 Pictures,Shaft,4 Choice,2,Pop Culture,none,#none
1558,อนิเมะเรื่อง Toradora! ผลิตโดยสตูดิโอใด,J.C.Staff,A-1 Pictures,Madhouse,P.A. Works,4 Choice,3,Pop Culture,none,#none
1559,อนิเมะเรื่อง Cyberpunk: Edgerunners ผลิตโดยสตูดิโอใด,Studio Trigger,Bones,MAPPA,Shaft,4 Choice,2,Pop Culture,none,#none
1560,อนิเมะเรื่อง My Dress-Up Darling ผลิตโดยสตูดิโอใด,CloverWorks,A-1 Pictures,MAPPA,Wit Studio,4 Choice,2,Pop Culture,none,#none
1561,อนิเมะเรื่อง Samurai Champloo ผลิตโดยสตูดิโอใด,Manglobe,Bones,Madhouse,Shaft,4 Choice,3,Pop Culture,none,#none
